Volební obvod;Kandidát.číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Volební strana;Navrhující strana;Politická příslušnost;Povolání;Bydliště;1. kolo.počet hlasů;1. kolo.%;2. kolo.počet hlasů;2. kolo.%
69;6;Mamula Radim Bc.​;50;ANO​;ANO​;BEZPP​;vedoucí provozu​;Frýdek-Místek​;4686;13,08;0;0,00
69;7;Pawlas Daniel Bc.​;45;KSČM​;KSČM​;KSČM​;poslanec - PS PČR​;Havířov​;1449;4,04;0;0,00
69;8;Bača Radim​;50;ANK 2020​;ANK 2020​;BEZPP​;starosta obce Palkovice, zemědělec​;Palkovice​;4733;13,21;0;0,00
69;9;Carbol Jiří Ing.​;61;KDU-ČSL+NMFM​;KDU-ČSL​;KDU-ČSL​;starosta obce Dobrá, senátor​;Dobrá​;7770;21,69;6775;45,96
69;10;Bodzsar Radomil​;64;SPD​;SPD​;SPD​;starosta obce Mošnov​;Mošnov​;1960;5,47;0;0,00
72;1;Cimprichová Pynelopi Ing. Mgr.​;62;JEDNOTNÍ​;JEDNOTNÍ​;JEDNOTNÍ​;podnikatelka, lékárnice a ekonomka​;Ostrava​;564;1,82;0;0,00
72;2;Gromnica Rostislav MUDr. Ph.D.​;64;STAN​;STAN​;BEZPP​;lékař​;Ostrava​;946;3,06;0;0,00
72;3;Wlochová Andrea Mgr. Ph.D.​;45;Trikolora​;Trikolora​;Trikolora​;VŠ pedagožka, vedoucí Katedry jazyků VŠB-TUO​;Ostrava​;1307;4,23;0;0,00
72;4;Šimetka Ondřej doc. MUDr. Ph.D., MBA​;50;ODS​;ODS​;BEZPP​;lékař​;Opava​;6688;21,68;7546;67,89
72;5;Smetana Radim Ing.​;46;SOCDEM​;SOCDEM​;SOCDEM​;starosta​;Ostrava​;2548;8,26;0;0,00
72;6;Síla Jan MUDr.​;70;SPD​;SPD​;SPD​;neurochirurg​;Ostrava​;1830;5,93;0;0,00
72;7;Jiříček Zdeněk Ing.​;51;ANO​;ANO​;ANO​;ředitel příspěvkové organizace​;Hlučín​;6747;21,87;3568;32,10
72;8;Gajdáček Petr​;71;KSČM​;KSČM​;KSČM​;předseda bytového družstva​;Ostrava​;1264;4,09;0;0,00
72;9;Janáčková Liana Ing. arch.​;66;NEZ​;NEZ​;NEZ​;architektka, zastupitelka městského obvodu​;Ostrava​;3782;12,26;0;0,00
72;11;Sapeta Jiří​;45;NáS​;NáS​;BEZPP​;OSVČ​;Ostrava​;164;0,53;0;0,00
72;12;Škaldová Miroslava Mgr.​;56;VOK​;VOK​;BEZPP​;ředitelka základní a mateřské školy​;Ostrava​;259;0,83;0;0,00
72;13;Koliba Peter doc. MUDr. CSc.​;67;ANK 2020​;ANK 2020​;ANK 2020​;lékař, senátor​;Budišovice​;825;2,67;0;0,00
72;14;Tomášek Martin Mgr. Ph.D.​;51;Piráti​;Piráti​;Piráti​;vysokoškolský učitel a místostarosta​;Ostrava​;3916;12,69;0;0,00
75;1;Kravčík Radim Mgr.​;40;Piráti​;Piráti​;BEZPP​;historik​;Karviná​;2451;10,94;0;0,00
75;2;Černínová Zdena​;63;KSČM​;KSČM​;BEZPP​;podnikatelka​;Karviná​;1943;8,67;0;0,00
75;3;Kuznik Lubomír​;64;VOK​;VOK​;BEZPP​;dlouholetý starosta a primátor​;Karviná​;657;2,93;0;0,00
75;4;Franková Naděžda MUDr.​;66;SPD​;SPD​;SPD​;dětská neuroložka​;Ostrava​;1648;7,35;0;0,00
75;5;Placzek Daniel MUDr.​;58;Trikolora​;Trikolora​;BEZPP​;lékař​;Orlová​;821;3,66;0;0,00
75;6;Štědroň Radoslav RNDr.​;65;JEDNOTNÍ​;JEDNOTNÍ​;SSPD-SP​;geograf - praktický filosof​;Ostrava​;75;0,33;0;0,00
75;7;Feber Ondřej Ing.​;68;ANO​;ANO​;ANO​;starosta​;Stonava​;5852;26,12;3412;50,62
75;8;Světnička Karel Mgr. et Bc.​;60;MS Piráti​;MS Piráti​;MS Piráti​;právník a nezávislý publicista​;Havířov​;236;1,05;0;0,00
75;9;Lazarová Eliška MUDr.​;63;ANK 2020​;ANK 2020​;BEZPP​;lékařka​;Dětmarovice​;343;1,53;0;0,00
75;10;Sušil Radek MUDr.​;53;SOCDEM​;SOCDEM​;SOCDEM​;lékař​;Karviná​;3335;14,88;3328;49,37
75;11;Chlubna Miroslav Mgr.​;46;NEZ​;NEZ​;NEZ​;starosta Města Orlová​;Orlová​;2184;9,75;0;0,00
75;12;Lebiedzik Marian doc. Ing. Ph.D.​;45;DV 2016​;DV 2016​;BEZPP​;starosta obce​;Petrovice u Karviné​;1684;7,51;0;0,00
75;13;Prus Radomír​;42;NK​;NK​;BEZPP​;průmyslník, vizionář, filantrop​;Petrovice u Karviné​;1170;5,22;0;0,00
78;1;Michálek Petr MgA.​;43;STAN​;STAN​;STAN​;ředitel divadla​;Zlín​;6637;14,90;0;0,00
78;2;Stodůlka Pavel MUDr. Ph.D.​;55;NEZ​;NEZ​;BEZPP​;lékař​;Zlín​;10642;23,90;7479;41,05
78;3;Šťovíček Jan JUDr. Ph.D.​;48;MZH​;MZH​;BEZPP​;prezident Autoklubu ČR​;Praha​;1579;3,54;0;0,00
78;4;Goláň Tomáš Ing.​;51;SEN 21​;SEN 21​;BEZPP​;daňový poradce a senátor​;Zlín​;14485;32,53;10738;58,94
78;5;Henner Radek Ing.​;57;SPD​;SPD​;SPD​;plukovník generálního štábu v záloze​;Přílepy​;3519;7,90;0;0,00
